FOURTEEN	THIRTEEN	TWELVE	ELEVEN	TEN	NINE	EIGHT	SEVEN	id
75	75	75	75	75	75	75	75	289
204	204	204	204	0	0	0	0	290
204	0	204	204	0	0	0	0	291
0	0	0	0	0	75	0	204	292
204	204	204	204	0	0	0	75	293
0	0	0	0	0	0	0	204	294
204	204	204	204	75	75	0	204	295
204	204	204	0	75	0	0	0	296
204	0	0	0	0	0	0	0	297
0	0	0	0	0	0	0	0	298
0	0	0	0	0	0	0	0	299
204	0	204	204	0	0	0	0	300
204	0	204	204	0	0	0	0	301
75	75	75	75	75	75	75	75	302
75	75	75	75	75	75	75	75	303
75	0	0	0	0	0	75	75	304
75	75	75	75	75	75	75	75	305
75	75	75	75	0	75	75	75	306
75	75	75	75	75	75	75	75	307
75	75	75	0	0	0	75	75	308
75	75	75	75	75	75	75	75	309
75	75	75	75	75	75	75	75	310
75	0	0	0	0	75	75	75	311
75	75	75	75	75	0	0	0	312
75	75	75	75	75	75	0	75	313
75	75	75	75	0	75	0	0	314
0	0	0	0	0	0	0	0	315
0	0	0	0	75	0	0	0	316
0	0	0	0	75	75	0	0	317
0	0	0	0	75	75	75	75	318
0	0	0	0	75	75	75	75	319
0	0	0	0	0	0	0	75	320
0	0	0	0	0	0	0	0	321
0	0	0	0	0	0	0	0	322
0	0	0	0	75	0	0	0	323
75	75	75	75	75	75	75	75	324
75	75	75	75	75	75	75	75	325
75	75	75	75	0	75	75	75	326
0	0	0	0	0	0	0	0	327
0	0	0	0	0	0	0	0	328
75	75	75	75	75	0	75	0	329
0	0	0	0	0	0	0	0	330
0	0	0	0	0	0	0	0	331
75	0	0	0	0	0	0	0	332
0	75	75	0	0	0	75	0	333
0	0	0	0	0	0	0	0	334
75	75	75	75	0	75	75	75	335
75	75	75	75	75	75	75	75	336
75	75	75	75	75	75	75	75	337
75	75	75	75	75	75	75	75	338
75	75	75	75	75	75	75	75	339
75	75	75	75	0	0	0	0	340
0	0	0	0	0	0	0	0	341
75	75	75	75	75	75	75	75	342
0	0	0	0	0	0	0	0	343
75	75	75	75	0	75	0	75	344
75	75	75	75	75	0	0	0	345
75	75	75	75	75	0	0	0	346
75	75	75	75	75	75	75	0	347
75	75	75	75	75	75	75	0	348
0	0	0	0	0	0	0	0	349
0	0	0	0	0	0	0	0	350
0	0	0	0	0	0	0	0	351
0	0	0	0	0	0	0	0	352
0	0	0	0	0	0	0	0	353
0	0	0	0	0	0	0	0	354
0	0	0	0	0	0	0	0	355
0	0	0	0	0	0	0	0	356
0	0	0	0	0	0	0	0	357
0	0	0	0	0	0	0	0	358
0	0	0	0	0	0	0	0	359
0	0	0	0	0	0	0	0	360
0	0	0	0	0	0	0	0	361
0	0	0	0	0	0	0	0	362
0	0	0	0	0	0	0	0	363
0	0	0	0	0	0	0	0	364
0	0	0	0	0	0	0	0	365
0	0	0	0	0	0	0	0	366
0	0	0	0	0	0	0	0	367
0	0	0	0	0	0	0	0	368
75	75	75	75	75	0	75	75	369
0	0	0	0	0	0	0	0	370
0	0	0	0	0	0	0	0	371
0	0	0	0	0	0	0	0	372
75	75	75	75	75	75	75	75	373
0	0	0	0	0	0	0	0	374
0	0	0	0	0	0	0	0	375
0	0	0	0	0	0	0	0	376
0	0	0	0	0	0	0	0	377
0	0	0	0	0	0	75	0	378
0	0	0	0	0	0	0	0	379
75	75	75	75	75	75	75	75	380
0	0	0	0	0	75	0	75	381
75	75	75	75	75	75	75	0	382
0	0	0	0	0	0	0	0	383
75	0	0	0	0	75	75	75	384
0	0	0	0	0	0	0	0	385
0	0	0	0	0	0	0	0	386
0	0	0	0	0	0	0	0	387
0	0	0	0	0	0	0	75	388
0	0	0	0	0	0	0	0	389
0	0	0	0	0	0	0	0	390
0	0	0	0	0	0	0	0	391
0	0	0	0	0	0	0	0	392
0	0	0	0	0	0	0	0	393
0	0	0	0	0	0	0	0	394
0	0	0	0	0	0	0	0	395
0	0	0	0	0	0	0	0	396
0	0	0	0	0	0	0	0	397
0	0	0	0	0	0	0	75	398
0	0	0	0	0	0	0	75	399
0	0	0	0	0	0	0	75	400
0	0	0	0	0	0	0	0	401
0	0	0	0	0	75	75	75	402
0	0	0	0	0	75	75	75	403
0	0	0	0	0	75	75	75	404
75	75	0	0	0	0	0	0	405
204	204	204	204	75	75	75	204	406
0	0	0	0	0	75	75	75	407
0	0	0	0	0	75	75	75	408
204	204	204	204	75	0	0	0	409
75	75	75	75	0	0	0	0	410
75	75	75	75	0	0	75	0	411
75	75	75	75	75	0	75	75	412
75	75	75	75	0	0	0	0	413
0	0	0	0	0	0	75	75	414
75	204	204	204	0	0	0	0	415
0	0	0	0	0	0	0	75	416
0	0	0	0	0	0	0	0	417
0	0	0	0	0	0	0	0	418
75	75	75	75	75	75	0	0	419
75	75	75	75	75	75	75	75	420
204	204	204	204	75	0	75	204	421
75	75	75	75	75	75	75	75	422
75	75	75	75	0	75	75	75	423
0	0	0	0	0	0	0	0	424
0	0	0	0	0	0	0	0	425
0	0	0	0	0	0	0	0	426
0	0	0	0	0	0	0	0	427
0	0	0	0	0	0	0	0	428
0	0	0	0	0	0	0	0	429
0	0	0	0	0	0	0	0	430
0	0	0	0	0	0	0	0	431
0	0	0	0	0	0	0	0	432
75	75	75	75	75	75	75	75	433
75	75	75	75	75	75	75	75	434
75	75	75	75	75	75	75	75	435
0	0	0	0	75	75	75	75	436
0	0	0	0	75	75	75	75	437
0	0	0	0	0	0	0	0	438
75	75	0	0	0	0	0	0	439
75	75	75	75	0	75	75	75	440
75	75	75	75	75	75	75	75	441
75	75	75	75	75	75	75	75	442
0	0	0	0	0	0	0	0	443
75	0	0	0	0	75	75	0	444
0	0	0	0	0	0	0	0	445
0	0	0	0	0	0	0	0	446
0	0	0	0	0	0	0	0	447
0	0	0	0	0	0	0	0	448
0	0	0	0	0	0	0	0	449
75	0	0	0	0	0	0	0	450
75	75	0	0	0	0	0	0	451
0	0	0	0	0	0	75	0	452
0	0	0	0	0	0	0	0	453
0	0	0	0	0	0	0	0	454
0	0	0	0	75	0	0	75	455
75	75	75	75	75	75	75	75	456
75	75	0	0	0	0	0	0	457
75	75	75	75	75	0	75	75	458
75	75	75	75	75	0	0	0	459
75	75	75	75	75	75	75	75	460
75	75	0	0	0	0	0	0	461
75	75	75	0	0	0	0	0	462
75	204	0	75	0	75	75	75	463
75	75	75	75	75	75	75	75	464
75	75	75	75	75	75	75	75	465
75	75	75	75	75	75	75	75	466
75	75	75	75	75	75	75	75	467
75	75	75	75	75	75	75	0	468
75	75	75	75	75	75	75	75	469
75	75	75	75	75	75	75	75	470
204	204	75	75	75	75	75	75	471
0	0	0	0	0	0	0	0	472
75	75	75	75	75	75	75	75	473
75	75	75	75	75	75	75	75	474
75	75	75	75	75	75	75	75	475
75	75	75	75	75	75	75	75	476
75	75	75	75	75	75	75	75	477
75	75	75	75	75	75	75	75	478
75	75	75	75	0	0	75	0	479
75	75	75	75	0	0	0	0	480
75	75	75	75	0	0	0	0	481
75	75	75	75	0	0	0	0	482
75	75	75	75	0	0	0	0	483
75	75	75	75	0	75	75	75	484
75	75	75	75	0	75	0	75	485
75	75	75	75	75	75	75	75	486
75	75	75	75	75	75	75	75	487
75	75	75	75	75	75	75	75	488
75	75	75	75	0	0	75	0	489
75	75	75	75	75	75	75	75	490
75	75	75	75	75	75	75	75	491
75	204	204	204	75	0	204	75	492
75	75	75	75	75	75	75	75	493
204	204	204	204	75	0	75	75	494
75	75	75	75	75	75	75	75	495
75	75	75	75	75	75	75	75	496
75	75	75	75	75	75	75	75	497
75	75	75	75	75	75	75	75	498
75	75	0	0	0	0	0	0	499
204	75	204	204	75	75	75	0	500
0	0	0	0	0	0	0	0	501
0	0	0	0	0	0	0	0	502
75	75	75	75	75	75	75	75	503
75	75	75	75	75	75	75	75	504
0	0	0	0	0	0	75	75	505
0	0	0	0	0	0	0	0	506
204	204	204	204	75	75	75	75	507
75	0	0	0	0	0	0	0	508
0	0	0	0	0	0	0	0	509
0	0	0	0	0	75	75	0	510
0	0	0	0	0	75	0	0	511
0	0	0	0	0	0	0	0	512
0	0	0	0	0	75	75	75	513
0	0	0	0	0	0	0	0	514
0	0	0	0	0	0	0	0	515
0	0	0	0	0	0	0	0	516
0	0	0	0	0	0	0	0	517
204	0	0	0	0	0	0	0	518
0	0	0	0	0	0	0	0	519
0	0	0	0	0	0	0	0	520
0	0	0	0	0	0	0	0	521
0	0	0	0	0	0	0	0	522
0	0	0	0	0	0	0	0	523
0	0	0	0	0	0	0	0	524
0	0	0	0	0	0	0	0	525
0	0	0	0	0	0	0	0	526
0	0	0	0	0	0	0	0	527
0	0	0	0	0	0	0	0	528
0	0	0	0	0	0	0	0	529
0	0	0	0	0	0	0	0	530
0	0	0	0	0	0	0	0	531
0	0	0	0	0	0	0	0	532
0	0	0	0	0	0	0	0	533
0	0	0	0	0	0	0	0	534
0	0	0	0	0	75	75	75	535
75	75	75	75	0	0	0	0	536
75	75	75	75	75	0	0	0	537
75	75	75	75	75	0	0	0	538
75	75	75	75	75	75	0	0	539
75	75	75	75	75	75	0	0	540
0	0	0	0	0	0	0	0	541
0	0	0	0	75	0	0	0	542
0	0	0	0	75	0	0	0	543
0	0	0	0	75	0	0	0	544
0	0	0	0	75	0	0	0	545
0	0	0	0	75	0	0	0	546
0	0	0	0	75	0	0	0	547
0	0	0	0	0	0	0	0	548
0	0	0	0	0	0	0	0	549
0	0	0	0	0	0	0	0	550
0	0	0	0	0	0	0	0	551
0	0	0	0	0	0	0	0	552
0	0	0	0	0	0	0	0	553
0	0	0	0	0	75	75	75	554
75	75	75	75	75	75	75	75	555
75	0	0	0	0	0	0	0	556
75	0	0	0	0	0	0	0	557
0	0	0	0	0	0	0	0	558
0	0	0	0	0	0	0	0	559
0	0	0	0	0	0	0	0	560
0	0	0	0	0	0	0	0	561
0	0	0	0	0	0	0	0	562
0	0	0	0	0	0	0	0	563
0	0	0	0	0	0	0	0	564
0	75	75	0	75	0	204	0	565
0	0	0	0	0	75	204	0	566
0	0	0	75	0	0	204	0	567
75	0	0	0	0	0	204	0	568
75	0	0	0	0	0	204	75	569
0	0	0	0	0	0	75	75	570
75	0	0	0	0	0	0	0	571
0	0	0	0	0	0	0	0	572
0	0	0	0	0	0	0	0	573
0	0	0	0	0	0	0	0	574
0	0	0	0	0	0	0	0	575
0	0	0	0	0	0	0	75	576
75	0	0	0	0	0	0	0	577
0	0	0	0	0	0	0	0	578
0	0	204	0	75	0	0	0	579
0	0	75	0	0	0	0	75	580
75	75	75	75	0	75	0	75	581
75	75	75	75	0	75	75	75	582
0	0	75	0	0	0	0	0	583
0	0	0	0	0	0	75	0	584
0	0	0	0	0	0	0	0	585
75	75	75	75	75	0	75	75	586
75	75	75	75	75	75	75	75	587
0	0	0	0	0	0	0	75	588
0	0	0	0	0	75	75	0	589
75	75	75	75	75	75	75	0	590
0	0	0	0	0	0	0	0	591
0	0	0	0	0	0	0	0	592
75	75	0	0	0	0	0	0	593
0	0	0	0	0	0	0	0	594
0	0	0	0	0	0	0	0	595
0	0	0	0	0	0	0	0	596
0	0	0	0	0	0	0	0	597
0	0	0	0	0	0	0	0	598
0	0	0	0	0	0	0	0	599
0	0	0	0	0	0	0	0	600
0	0	0	0	0	0	0	0	601
0	0	0	0	0	0	0	0	602
0	0	0	0	0	0	0	0	603
0	0	0	0	0	0	0	0	604
0	0	0	0	0	0	0	0	605
0	0	0	0	0	0	0	0	606
0	0	0	0	0	0	0	0	607
0	0	0	0	0	0	0	0	608
0	0	0	0	0	0	0	0	609
0	0	0	0	0	0	0	0	610
0	0	0	0	0	0	0	0	611
0	0	0	0	0	0	0	0	612
0	0	0	0	0	0	0	0	613
0	0	0	0	0	0	0	0	614
0	0	0	0	0	0	0	0	615
0	0	0	0	0	0	0	0	616
0	0	0	0	0	0	0	0	617
0	0	0	0	0	0	0	0	618
0	0	0	0	0	0	0	0	619
0	0	0	0	0	0	0	0	620
0	0	0	0	0	0	0	0	621
0	0	0	0	0	0	0	0	622
0	0	0	0	0	0	0	0	623
0	0	0	0	0	0	0	0	624
0	0	0	0	0	0	0	0	625
0	0	0	0	0	0	0	0	626
0	0	0	0	0	0	0	0	627
0	0	0	0	0	0	0	0	628
0	0	0	0	0	0	0	0	629
0	0	0	0	0	0	0	0	630
0	0	0	0	0	0	0	0	631
0	0	0	0	0	0	0	0	632
0	0	0	0	0	0	0	0	633
0	0	0	0	0	0	0	0	634
0	0	0	0	0	0	0	0	635
0	0	0	0	0	0	0	0	636
0	0	0	0	0	0	0	0	637
0	0	0	0	0	0	0	0	638
0	0	0	0	0	0	0	0	639
0	0	0	0	0	0	0	0	640
0	0	0	0	0	0	0	0	641
0	0	0	0	0	0	75	75	642
0	0	0	0	0	0	0	0	643
0	0	0	0	0	0	204	0	644
0	0	0	0	0	0	204	75	645
0	0	0	75	0	75	204	75	646
0	0	0	0	0	0	204	75	647
0	0	0	0	0	75	0	75	648
0	0	0	0	0	0	0	75	649
0	0	0	0	0	0	0	0	650
75	75	204	0	0	0	204	0	651
0	0	0	0	0	0	0	0	652
75	0	0	0	0	0	0	0	653
0	0	0	0	0	0	0	0	654
0	0	0	0	0	0	0	0	655
0	0	0	0	0	0	0	0	656
0	0	0	0	0	0	0	0	657
0	0	0	0	0	0	0	0	658
0	0	0	0	0	0	0	0	659
0	0	0	0	0	0	0	0	660
0	0	0	0	0	0	0	0	661
0	0	0	0	0	0	0	0	662
0	204	0	0	0	204	0	0	663
0	0	0	0	0	0	0	0	664
0	0	0	0	0	0	0	0	665
204	0	0	0	0	0	0	0	666
204	204	204	204	75	0	0	0	667
204	204	204	204	0	0	0	0	668
0	0	0	0	0	0	0	0	669
0	0	0	0	0	0	0	0	670
0	0	0	0	0	0	0	0	671
0	0	0	0	0	0	0	0	672
0	0	0	0	0	0	0	0	673
0	0	0	0	0	0	0	0	674
0	0	0	0	0	0	0	0	675
0	0	0	0	0	0	0	75	676
0	0	0	0	0	0	0	0	677
0	0	0	0	0	0	0	0	678
0	0	0	0	0	0	0	0	679
0	0	0	0	0	0	0	0	680
0	0	0	0	0	0	0	75	681
0	0	0	0	0	0	0	0	682
0	0	0	0	0	0	0	0	683
75	75	0	0	0	75	0	0	684
75	75	75	75	75	75	0	0	685
0	0	0	0	0	0	0	0	686
0	0	0	0	0	0	0	0	687
0	75	75	0	0	0	0	0	688
0	75	0	0	0	0	0	0	689
0	0	0	0	0	0	0	0	690
204	0	0	75	0	0	0	0	691
0	0	0	0	0	0	0	0	692
0	75	0	75	0	0	0	0	693
0	0	0	0	0	0	0	0	694
0	75	0	75	0	0	0	0	695
0	0	0	0	0	0	0	0	696
0	0	0	0	0	0	0	0	697
0	75	75	75	0	0	0	0	698
0	0	0	75	0	0	0	0	699
0	0	75	0	0	0	0	0	700
0	0	0	204	0	0	75	0	701
0	0	0	0	0	0	0	204	702
0	0	0	0	0	0	0	0	703
75	0	0	0	75	0	0	0	704
204	0	0	0	0	0	0	0	705
0	75	0	75	0	0	0	75	706
0	75	0	75	0	0	0	75	707
204	0	0	0	0	0	0	0	708
0	0	75	75	0	0	0	0	709
0	0	0	75	0	0	0	0	710
0	0	0	0	0	0	0	0	711
0	0	0	75	0	0	75	204	712
0	0	0	75	0	0	75	204	713
204	0	0	0	0	0	0	0	714
0	0	0	0	0	0	0	0	715
0	0	0	0	0	0	0	0	716
204	0	0	0	0	0	0	0	717
75	75	75	75	0	75	0	0	718
0	0	0	0	0	0	0	0	719
0	0	0	0	0	0	0	0	720
75	75	75	75	75	75	75	75	721
0	0	0	0	0	0	0	0	722
75	75	75	75	0	75	75	0	723
0	0	0	0	0	0	0	0	724
0	0	0	0	0	75	75	75	725
0	0	0	0	0	0	0	0	726
204	204	204	204	0	0	75	75	727
0	75	0	75	0	75	0	0	728
75	75	75	75	75	75	0	0	729
75	75	75	75	75	0	0	75	730
75	75	75	75	0	0	0	0	731
0	0	0	0	75	0	75	0	732
0	0	0	0	75	75	0	0	733
0	0	75	75	0	0	0	75	734
75	0	75	75	0	0	0	75	735
0	0	0	0	75	0	75	75	736
0	0	0	0	75	0	0	0	737
0	0	0	0	75	0	0	0	738
0	0	0	0	0	0	0	0	739
0	0	0	0	0	0	0	0	740
0	0	0	0	75	0	0	0	741
0	0	0	0	75	75	0	0	742
0	0	0	0	75	75	0	0	743
75	75	75	75	75	0	0	75	744
75	75	75	75	75	0	0	0	745
0	0	0	0	0	0	75	75	746
0	0	0	0	0	0	0	75	747
0	0	0	0	0	0	0	0	748
0	0	0	0	0	0	0	0	749
0	0	0	0	0	0	0	75	750
0	0	0	0	0	0	0	75	751
75	75	75	75	0	0	0	0	752
75	75	75	75	75	0	0	0	753
0	0	0	0	0	0	0	0	754
75	75	75	75	75	0	0	0	755
0	0	0	0	0	0	0	0	756
0	0	0	0	0	0	0	75	757
0	0	0	0	0	75	0	75	758
0	0	0	0	0	75	0	0	759
0	0	0	0	0	0	0	0	760
0	0	0	0	0	0	0	0	761
0	0	0	0	0	0	0	0	762
0	0	0	0	0	0	0	0	763
0	0	0	0	0	75	0	75	764
0	0	0	0	0	75	0	75	765
0	0	0	0	0	0	0	0	766
0	0	0	0	0	0	0	0	767
0	0	0	0	0	0	0	0	768
75	75	75	75	0	0	75	0	769
